foundjob,treat,age,priorearn,educ,female,nonwhite,married
1,1,19,0,10,1,1,1
1,1,29,0,9,0,0,1
1,1,17,0,11,1,1,0
1,1,30,6516,13,0,0,1
1,1,28,19000,11,0,0,1
1,0,44,16000,13,1,0,0
1,1,61,6240,12,0,0,1
1,1,26,0,11,0,1,0
1,0,29,380,13,1,1,1
1,1,24,3588,12,0,0,0
1,1,41,0,12,1,1,1
1,0,28,0,11,1,0,1
1,1,20,214,12,0,1,0
1,1,20,0,12,1,0,0
1,1,38,2000,9,0,1,0
1,1,32,8000,11,0,0,0
1,1,19,4279,12,1,1,0
1,1,46,7630,11,1,1,1
1,1,16,0,9,0,0,0
1,1,27,1080,12,0,0,1
1,0,29,4000,12,0,1,0
1,1,21,2764,11,1,0,1
1,0,47,0,9,1,1,0
1,1,22,7000,13,1,1,0
1,0,20,0,11,1,1,0
1,1,29,1000,12,1,1,0
1,0,21,2000,12,1,0,0
1,0,29,0,11,0,1,0
1,0,20,6792,13,0,0,1
1,1,33,2900,12,1,0,0
1,1,23,12000,10,0,0,1
1,0,22,13000,12,0,0,0
1,0,35,9000,12,1,1,0
1,0,23,3000,12,1,1,0
1,1,27,0,12,1,1,1
1,0,39,6500,12,0,0,0
1,0,31,300,12,1,1,0
1,1,28,6720,14,0,1,0
1,1,39,2411,12,0,0,0
1,1,21,800,12,0,0,0
1,1,36,0,12,1,0,1
1,1,18,2500,12,1,0,1
1,0,27,3300,12,1,1,0
1,1,28,600,9,1,1,0
1,1,31,5000,11,0,1,0
1,1,31,2000,16,0,0,1
1,1,35,6711,13,0,0,1
1,0,23,0,9,0,1,0
1,0,24,4641,12,1,0,0
1,1,39,24000,8,0,0,1
1,1,18,2673,10,0,0,0
1,1,38,400,12,0,1,0
1,0,19,0,11,1,1,1
1,1,29,2200,12,0,0,1
1,1,28,160,12,1,1,0
1,1,19,3880,11,0,1,0
1,1,25,260,14,1,1,1
1,0,39,2003,13,1,0,0
1,1,32,0,12,1,1,1
1,1,20,200,12,1,1,0
1,1,35,12000,14,1,0,0
1,1,27,1673,8,0,0,1
1,1,23,0,12,1,1,0
1,1,28,0,10,0,1,0
1,1,31,2560,10,1,1,0
1,0,16,3894,10,0,0,0
1,1,24,0,12,1,1,1
1,1,33,220,10,0,1,0
1,1,22,9000,12,1,0,0
1,0,39,10000,10,1,0,1
1,0,23,0,12,0,1,0
1,1,35,0,10,0,1,0
1,0,36,2000,15,0,1,0
1,1,21,900,12,0,0,0
1,1,20,3000,12,1,1,0
1,1,26,11000,9,0,0,1
1,1,31,10080,12,0,0,1
1,1,19,875,9,0,0,0
1,1,33,0,10,0,0,1
1,1,44,1181,12,1,1,1
1,1,33,13000,16,0,0,1
1,1,37,0,11,1,0,0
1,1,19,0,12,1,0,0
1,1,29,2400,9,0,0,1
1,0,33,2000,16,1,1,0
1,1,63,0,10,1,0,0
1,0,21,6000,12,0,0,0
1,1,26,498,9,1,0,1
1,1,25,1500,10,0,0,0
1,1,21,0,8,1,1,1
1,1,32,8000,10,0,1,0
1,1,19,1012,12,1,1,0
1,1,23,1500,14,0,0,1
1,1,24,1100,13,0,0,1
1,1,18,2530,13,1,1,0
1,0,20,2249,11,1,0,0
1,0,18,1200,9,0,0,0
1,1,28,352,10,1,0,0
1,1,24,1300,12,1,0,0
1,1,40,6000,14,1,0,1
1,1,52,960,12,0,1,0
1,0,17,0,9,1,0,1
1,0,44,528,9,1,1,1
1,1,20,800,13,0,1,0
1,1,19,3000,10,0,0,0
1,0,36,700,13,1,0,0
1,1,24,400,12,0,0,0
1,0,27,0,12,1,0,1
1,1,49,1306,14,1,1,0
1,1,23,2725,9,1,0,0
1,1,22,1768,12,1,0,0
1,0,25,7000,15,0,0,0
1,1,33,0,14,0,1,1
1,1,27,0,12,1,0,0
1,1,29,9800,10,0,0,1
1,1,44,400,8,1,0,0
1,1,53,0,11,1,0,0
1,1,32,16000,12,0,0,0
1,1,20,7500,12,0,0,0
1,1,18,200,11,0,0,0
1,1,21,9258,12,1,1,0
1,1,43,2000,13,1,0,0
1,1,18,0,11,1,1,0
1,0,19,350,13,0,1,0
1,1,23,5394,12,1,0,1
1,1,30,7000,15,0,1,0
1,1,41,1200,15,0,0,1
1,0,19,3500,8,1,0,0
1,1,17,0,9,0,1,0
1,0,24,0,13,1,0,0
1,1,20,5000,12,1,0,0
1,1,18,1500,12,0,0,0
1,0,72,6000,9,0,0,1
1,0,25,6300,14,0,0,0
1,1,40,50,11,1,0,1
1,0,35,0,13,1,0,0
1,1,26,554,12,0,1,0
1,0,25,3880,15,1,0,0
1,1,32,2400,12,1,1,0
1,1,33,2800,11,0,0,0
1,1,45,0,10,1,1,0
1,0,51,2500,8,0,0,0
1,1,39,600,13,0,1,1
1,0,42,1500,8,1,1,0
1,0,38,1500,10,0,0,1
1,1,29,4000,10,0,1,0
1,1,29,128,12,1,0,0
1,0,27,2300,10,1,0,1
1,1,27,0,17,0,1,0
1,1,34,31000,11,0,0,0
1,0,24,1000,12,1,0,0
1,0,17,0,10,0,1,0
1,1,23,1751,13,1,0,0
1,0,29,8004,12,1,1,0
1,1,35,3900,13,1,1,1
1,1,16,2000,11,0,0,0
1,0,38,638,12,1,0,1
1,1,19,2078,12,0,1,0
1,1,21,1205,14,0,0,0
1,0,39,3100,9,0,0,0
1,1,19,2519,11,0,0,0
1,1,21,4500,12,0,0,0
1,0,31,3500,12,0,0,1
1,1,27,16872,14,0,1,0
1,1,32,2508,12,1,1,0
1,0,40,0,9,1,0,1
1,1,36,0,12,1,0,0
1,0,33,10000,15,0,0,0
1,1,35,0,12,1,0,0
1,1,43,0,10,1,0,0
1,1,51,5400,8,1,0,0
1,1,27,15000,12,1,1,0
1,1,36,4500,12,1,0,0
1,1,35,3500,12,0,0,0
1,1,19,750,12,1,1,0
1,1,27,6500,12,1,0,0
1,0,38,2400,14,1,0,0
1,1,30,10125,17,1,0,0
1,1,29,0,12,0,1,0
1,0,37,6300,12,0,1,0
1,0,40,192,12,0,0,1
1,1,21,3000,12,1,1,0
1,1,31,2330,12,0,1,0
1,0,28,11000,12,0,0,0
1,0,42,12000,12,0,0,1
1,1,30,550,8,1,0,0
1,1,50,0,10,1,0,0
1,1,44,8850,12,0,0,1
1,0,34,0,13,0,1,1
1,1,38,3300,11,0,1,0
1,1,36,4985,14,1,0,0
1,0,19,4060,12,1,0,0
1,1,32,0,12,1,0,0
1,1,40,11500,14,0,0,1
1,1,27,4000,10,1,0,0
1,0,19,0,12,0,0,0
1,1,39,3500,14,1,0,1
1,1,19,1000,12,0,0,0
1,1,18,3000,8,1,1,0
1,1,28,1900,9,1,0,0
1,1,29,2689,10,0,0,1
1,0,39,600,12,0,0,0
1,1,45,3000,13,0,0,1
1,1,25,0,12,1,1,0
1,1,43,12000,11,1,1,0
1,1,20,8500,12,0,1,0
1,1,17,520,12,1,0,0
1,1,22,2500,9,1,0,0
1,1,41,1800,14,1,0,1
1,0,23,1312,12,1,1,0
1,1,25,0,8,0,1,1
1,1,30,7000,14,0,1,0
1,1,24,500,12,1,1,1
1,1,23,3300,12,0,0,0
1,1,20,250,11,1,1,0
1,0,19,12000,10,1,0,1
1,1,31,2600,12,1,1,0
1,1,18,800,10,1,0,0
1,1,23,17000,12,0,0,1
1,0,30,0,12,1,1,0
1,1,19,813,12,1,0,0
1,1,17,0,10,1,0,0
1,1,26,8050,11,1,0,0
1,1,47,17000,11,1,0,1
1,1,28,3472,11,1,0,1
1,0,69,0,11,0,1,1
1,1,35,0,15,0,0,0
1,1,18,780,12,1,0,0
1,1,30,11000,13,1,0,0
1,1,38,2000,10,0,0,1
1,1,33,0,9,1,0,0
1,1,31,3000,11,0,0,1
1,1,31,1104,14,1,1,0
1,1,34,3300,12,1,0,0
1,1,18,0,12,1,1,0
1,1,18,5000,13,0,0,1
1,1,38,0,14,1,1,0
1,1,54,0,8,1,0,1
1,1,36,6000,14,1,0,0
1,1,20,2000,14,0,1,0
1,1,18,586,12,0,1,0
1,1,19,0,12,0,1,0
1,1,22,0,10,1,1,1
1,0,25,1500,8,1,1,1
1,0,34,12000,13,0,0,0
1,1,30,0,10,1,1,0
1,1,27,7000,12,1,0,0
1,0,22,1300,12,0,0,0
1,1,31,3000,11,0,0,0
1,1,35,8800,12,1,0,0
1,0,29,1030,12,0,1,0
1,1,37,900,12,1,0,0
1,1,25,100,10,1,1,1
1,1,26,3289,12,1,1,0
1,1,36,3301,12,0,0,0
1,1,28,11960,9,0,1,1
1,0,20,858,12,0,0,0
1,1,33,6602,10,0,0,1
1,1,31,3000,12,1,1,0
1,0,25,0,12,1,1,0
1,1,20,0,9,1,0,0
1,1,34,0,13,1,1,0
1,1,30,1750,10,1,1,0
1,1,21,4315,12,1,1,0
1,1,19,200,12,0,1,0
1,0,22,0,14,1,1,0
1,1,28,0,12,0,0,1
1,1,43,0,12,0,1,1
1,1,21,3490,10,1,1,0
1,0,21,0,12,1,0,0
1,1,21,45,12,0,0,0
1,1,30,0,11,0,1,0
1,1,21,0,10,1,0,0
1,1,41,4227,10,1,0,1
1,0,17,200,10,1,1,0
1,0,23,8500,12,0,1,1
1,1,30,9000,11,1,1,1
1,1,32,5000,10,1,1,1
1,0,27,3000,11,0,0,0
1,1,23,0,12,1,0,0
1,0,52,0,12,1,0,0
1,1,60,15028,12,1,0,1
1,0,25,8000,12,0,1,1
1,0,58,15000,16,1,0,0
1,1,19,0,13,1,0,0
1,1,17,826,9,0,1,0
1,0,36,0,12,1,0,0
1,1,39,0,9,1,1,0
1,0,34,94,11,0,1,0
1,1,32,400,15,1,1,0
1,1,29,5000,12,0,1,0
1,1,24,2300,11,1,0,0
1,1,18,900,8,1,0,0
1,1,27,12500,11,0,0,1
1,1,22,8000,12,1,1,0
